frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
184,6.2062,2026:04:27 12:27:41.206Z,32.1025231045542,35.2096597980691,49.8,-27.1,-1.1,-32.7,-45.3,-24.0
185,6.23956666666667,2026:04:27 12:27:41.240Z,32.1025277434719,35.2096563771701,49.8,-26.9,-1.3,-32.7,-45.3,-24.0
186,6.27293333333333,2026:04:27 12:27:41.273Z,32.1025277434719,35.2096563771701,49.8,-26.9,-1.3,-32.7,-45.3,-24.0
187,6.3063,2026:04:27 12:27:41.306Z,32.1025277434719,35.2096563771701,49.8,-26.9,-1.3,-32.7,-45.3,-24.0
188,6.33966666666667,2026:04:27 12:27:41.340Z,32.1025327304552,35.209652833046,49.8,-26.9,-1.4,-32.7,-45.3,-24.0
189,6.37303333333333,2026:04:27 12:27:41.373Z,32.1025327304552,35.209652833046,49.8,-26.9,-1.4,-32.7,-45.3,-24.0
190,6.4064,2026:04:27 12:27:41.406Z,32.1025327304552,35.209652833046,49.8,-26.9,-1.4,-32.7,-45.3,-24.0
191,6.43976666666667,2026:04:27 12:27:41.440Z,32.1025375803766,35.2096493940926,49.8,-26.9,-1.4,-32.7,-45.3,-24.0
192,6.47313333333333,2026:04:27 12:27:41.473Z,32.1025375803766,35.2096493940926,49.8,-26.9,-1.4,-32.7,-45.3,-24.0
193,6.5065,2026:04:27 12:27:41.507Z,32.1025375803766,35.2096493940926,49.8,-26.9,-1.4,-32.7,-45.3,-24.0
